date,open,high,low,close,volume,amount,ma20,std20,upper,lower,z_score,ema12,ema26,dif,dea,macd,volume_ma20,tr,atr20,channel_high,channel_low,channel_mid,breakout_up,breakout_down,body,body_ma20
2026-01-14,8.246,8.474,8.188,8.303,13490763,11344083331.0,,,,,,8.303,8.303,0.0,0.0,0.0,,0.2859999999999996,,,,,False,False,0.057000000000000384,
2026-01-15,8.238,8.328,8.203,8.277,31673003,26329578425.0,,,,,,8.299,8.301074074074075,-0.0020740740740752273,-0.00041481481481504546,-0.0033185185185203637,,0.125,,,,,False,False,0.0389999999999997,
2026-01-16,8.318,8.353,8.24,8.295,20507550,16986109610.0,,,,,,8.298384615384615,8.30062414266118,-0.0022395272765649565,-0.0007797573071650276,-0.002919539938799858,,0.11299999999999955,,,,,False,False,0.022999999999999687,
2026-01-19,8.27,8.397,8.25,8.348,15215856,12700273166.0,,,,,,8.30601775147929,8.304133465427018,0.0018842860522720883,-0.00024694863527760443,0.004262469375099385,,0.14700000000000024,,,,,False,False,0.07800000000000118,
2026-01-20,8.356,8.414,8.201,8.324,16142560,13377848573.0,,,,,,8.308784251251707,8.305605060580572,0.003179190671135146,0.0004382792260049457,0.0054818228902604,,0.2129999999999992,,,,,False,False,0.03200000000000003,
2026-01-21,8.282,8.435,8.28,8.432,10340945,8682017701.0,,,,,,8.327740520289906,8.314967648685714,0.012772871604191494,0.0029051977016422556,0.019735347805098474,,0.15500000000000114,,,,,False,False,0.15000000000000036,
2026-01-22,8.46,8.496,8.404,8.469,4808568,4059456186.0,,,,,,8.349472747937613,8.326377452486772,0.023095295450840325,0.00694321725148187,0.03230415639871691,,0.09200000000000053,,,,,False,False,0.008999999999998565,
2026-01-23,8.505,8.725,8.493,8.719,6693457,5772176393.0,,,,,,8.40632309440875,8.35546060415442,0.050862490254329984,0.015727071852051494,0.07027083680455698,,0.2560000000000002,,,,,False,False,0.21399999999999864,
2026-01-26,8.763,8.787,8.517,8.564,16667263,14330394653.0,,,,,,8.430581079884327,8.370907966809648,0.059673113074678596,0.024516280096576915,0.07031366595620336,,0.27000000000000135,,,,,False,False,0.19899999999999984,
2026-01-27,8.542,8.67,8.437,8.619,14746511,12638904532.0,,,,,,8.459568606055969,8.389285154453377,0.07028345160259164,0.03366971439777986,0.07322747440962356,,0.23300000000000054,,,,,False,False,0.07699999999999996,
2026-01-28,8.645,8.72,8.595,8.691,25174465,21752591598.0,,,,,,8.495173435893513,8.411634402271646,0.08353903362186621,0.04364357824259714,0.07979091075853814,,0.125,,,,,False,False,0.04600000000000115,
2026-01-29,8.661,8.754,8.574,8.591,13734676,11884876159.0,,,,,,8.509915984217589,8.424920742844117,0.08499524137347159,0.051913910868772034,0.0661626610093991,,0.17999999999999972,,,,,False,False,0.07000000000000028,
2026-01-30,8.518,8.594,8.232,8.44,12838777,10756242144.0,,,,,,8.499159678953344,8.426037724855664,0.07312195409767952,0.05615551951455353,0.033932869166251975,,0.3620000000000001,,,,,False,False,0.07800000000000118,
2026-02-02,8.33,8.4,8.045,8.049,19473871,15911074104.0,,,,,,8.429904343729753,8.398109004495986,0.031795339233767095,0.05128348345839625,-0.03897628844925831,,0.3949999999999996,,,,,False,False,0.2810000000000006,
2026-02-03,8.186,8.375,8.132,8.366,9366022,7761030186.0,,,,,,8.420072906232868,8.395730559718505,0.024342346514362845,0.04589525606958957,-0.043105819110453455,,0.3260000000000005,,,,,False,False,0.17999999999999972,
2026-02-04,8.36,8.395,8.249,8.388,12287969,10230284565.0,,,,,,8.415138612966272,8.395157925665282,0.019980687300989786,0.04071234231586962,-0.04146331002975967,,0.14599999999999902,,,,,False,False,0.02800000000000047,
2026-02-05,8.3,8.313,8.147,8.217,9552432,7839440779.0,,,,,,8.384655749433,8.381961042282668,0.002694707150331155,0.03310881528276193,-0.060828216264861554,,0.24099999999999966,,,,,False,False,0.08300000000000018,
2026-02-06,8.105,8.33,8.075,8.213,9399364,7742250214.0,,,,,,8.358247172597153,8.369445409520988,-0.01119823692383548,0.02424740484144245,-0.07089128353055586,,0.2550000000000008,,,,,False,False,0.10799999999999876,
2026-02-09,8.35,8.397,8.306,8.395,5942628,4972221001.0,,,,,,8.363901453736052,8.371338342149064,-0.00743688841301271,0.01791054619055142,-0.05069486920712826,,0.18400000000000105,,,,,False,False,0.04499999999999993,
2026-02-10,8.395,8.404,8.329,8.377,3443423,2884803529.0,8.40385,0.16896348873740707,8.741776977474814,8.065923022525187,-0.15891007104930377,8.365916614699737,8.371757724212097,-0.005841109512360276,0.013160215049969082,-0.03800264912465871,13575005.15,0.07499999999999929,0.2089500000000001,8.787,8.045,8.416,False,False,0.017999999999998906,0.09074999999999997
2026-02-11,8.355,8.457,8.355,8.411,2952356,2486170379.0,8.40925,0.16728824006234874,8.743826480124698,8.074673519875303,0.010460986375056876,8.372852520130547,8.374664559455645,-0.0018120393250988798,0.01016576417495549,-0.02395560700010874,13048084.8,0.10200000000000031,0.19975000000000015,8.787,8.045,8.416,False,False,0.05599999999999916,0.09069999999999992
2026-02-12,8.41,8.527,8.41,8.514,3976169,3376962000.0,8.4211,0.16581470317638858,8.752729406352776,8.089470593647222,0.5602639465643529,8.39456751703354,8.384985703199671,0.00958181383386858,0.01004897410673811,-0.0009343205457390605,11663243.1,0.1169999999999991,0.19935000000000008,8.787,8.045,8.416,False,False,0.1039999999999992,0.0939499999999999
2026-02-13,8.474,8.496,8.361,8.373,10173967,8560575763.0,8.425,0.16359513568884873,8.752190271377698,8.097809728622304,-0.31785786161089324,8.391249437489918,8.38409787333303,0.007151564156888668,0.009469492116768221,-0.004635855919759107,11146563.95,0.1529999999999987,0.20135000000000006,8.787,8.045,8.416,False,False,0.10100000000000087,0.09784999999999995
