时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-01-14 09:35:00,8.246,8.322,8.336,8.246,0.95,0.078,370716,310564527.0,1.09,0.32
2026-01-14 09:40:00,8.321,8.34,8.342,8.308,0.22,0.018,245176,205611096.0,0.41,0.21
2026-01-14 09:45:00,8.34,8.36,8.362,8.329,0.24,0.02,265605,223405177.0,0.4,0.23
2026-01-14 09:50:00,8.359,8.339,8.383,8.334,-0.25,-0.021,417053,351111711.0,0.59,0.36
2026-01-14 09:55:00,8.34,8.32,8.345,8.312,-0.23,-0.019,240491,201895583.0,0.4,0.21
2026-01-14 10:00:00,8.32,8.378,8.379,8.314,0.7,0.058,320765,270040358.0,0.78,0.28
2026-01-14 10:05:00,8.38,8.393,8.402,8.38,0.18,0.015,499707,422505707.0,0.26,0.43
2026-01-14 10:10:00,8.392,8.406,8.408,8.389,0.15,0.013,438602,371162958.0,0.23,0.38
2026-01-14 10:15:00,8.405,8.413,8.426,8.402,0.08,0.007,395960,335694254.0,0.29,0.34
2026-01-14 10:20:00,8.414,8.42,8.425,8.411,0.08,0.007,332647,282053359.0,0.17,0.29
2026-01-14 10:25:00,8.423,8.439,8.439,8.415,0.23,0.019,326875,277473695.0,0.29,0.28
2026-01-14 10:30:00,8.44,8.447,8.452,8.434,0.09,0.008,531663,452258281.0,0.21,0.46
2026-01-14 10:35:00,8.447,8.437,8.46,8.433,-0.12,-0.01,415642,353603962.0,0.32,0.36
2026-01-14 10:40:00,8.439,8.446,8.448,8.427,0.11,0.009,224160,190507149.0,0.25,0.19
2026-01-14 10:45:00,8.446,8.455,8.457,8.429,0.11,0.009,160746,136754342.0,0.33,0.14
2026-01-14 10:50:00,8.455,8.45,8.458,8.443,-0.06,-0.005,151572,129042313.0,0.18,0.13
2026-01-14 10:55:00,8.449,8.442,8.456,8.434,-0.09,-0.008,167217,142261532.0,0.26,0.14
2026-01-14 11:00:00,8.442,8.456,8.468,8.442,0.17,0.014,196050,167033641.0,0.31,0.17
2026-01-14 11:05:00,8.455,8.465,8.471,8.447,0.11,0.009,177484,151245472.0,0.28,0.15
2026-01-14 11:10:00,8.466,8.469,8.474,8.466,0.05,0.004,145729,124324766.0,0.09,0.13
2026-01-14 11:15:00,8.469,8.459,8.474,8.451,-0.12,-0.01,118145,100733878.0,0.27,0.1
2026-01-14 11:20:00,8.462,8.465,8.465,8.449,0.07,0.006,187631,159892115.0,0.19,0.16
2026-01-14 11:25:00,8.467,8.449,8.47,8.449,-0.19,-0.016,202716,172826046.0,0.25,0.18
2026-01-14 11:30:00,8.45,8.462,8.466,8.45,0.15,0.013,86595,73783084.0,0.19,0.07
2026-01-14 13:05:00,8.441,8.384,8.454,8.323,-0.92,-0.078,590749,497510753.0,1.55,0.51
2026-01-14 13:10:00,8.38,8.303,8.38,8.287,-0.97,-0.081,396279,331721649.0,1.11,0.34
2026-01-14 13:15:00,8.302,8.275,8.344,8.275,-0.34,-0.028,471686,394513625.0,0.83,0.41
2026-01-14 13:20:00,8.274,8.29,8.292,8.233,0.18,0.015,402591,335129809.0,0.71,0.35
2026-01-14 13:25:00,8.291,8.303,8.308,8.266,0.16,0.013,275445,230013208.0,0.51,0.24
2026-01-14 13:30:00,8.304,8.32,8.32,8.27,0.2,0.017,165205,137985925.0,0.6,0.14
2026-01-14 13:35:00,8.324,8.308,8.337,8.306,-0.14,-0.012,139410,116871159.0,0.37,0.12
2026-01-14 13:40:00,8.308,8.33,8.354,8.303,0.26,0.022,76448,64222124.0,0.61,0.07
2026-01-14 13:45:00,8.334,8.306,8.341,8.306,-0.29,-0.024,96172,80623929.0,0.42,0.08
2026-01-14 13:50:00,8.305,8.283,8.308,8.278,-0.28,-0.023,122930,102717385.0,0.36,0.11
2026-01-14 13:55:00,8.283,8.275,8.298,8.275,-0.1,-0.008,145345,121269905.0,0.28,0.13
2026-01-14 14:00:00,8.275,8.211,8.276,8.207,-0.77,-0.064,655763,543981976.0,0.83,0.57
2026-01-14 14:05:00,8.21,8.244,8.25,8.188,0.4,0.033,353816,292751594.0,0.76,0.31
2026-01-14 14:10:00,8.241,8.253,8.253,8.206,0.11,0.009,329863,273347731.0,0.57,0.29
2026-01-14 14:15:00,8.252,8.309,8.316,8.252,0.68,0.056,133443,111558720.0,0.78,0.12
2026-01-14 14:20:00,8.309,8.32,8.32,8.294,0.13,0.011,107392,89893088.0,0.31,0.09
2026-01-14 14:25:00,8.322,8.325,8.325,8.295,0.06,0.005,113187,94777990.0,0.36,0.1
2026-01-14 14:30:00,8.325,8.338,8.342,8.325,0.16,0.013,179475,150762264.0,0.2,0.16
2026-01-14 14:35:00,8.34,8.297,8.346,8.296,-0.49,-0.041,305626,256006773.0,0.6,0.26
2026-01-14 14:40:00,8.296,8.292,8.296,8.276,-0.06,-0.005,407796,340384265.0,0.24,0.35
2026-01-14 14:45:00,8.289,8.292,8.312,8.28,0.0,0.0,432389,361451085.0,0.39,0.37
2026-01-14 14:50:00,8.291,8.282,8.301,8.279,-0.12,-0.01,382464,319347915.0,0.27,0.33
2026-01-14 14:55:00,8.284,8.29,8.294,8.283,0.1,0.008,330305,275818295.0,0.13,0.29
2026-01-14 15:00:00,8.29,8.303,8.305,8.289,0.16,0.013,258037,215637158.0,0.19,0.22
2026-01-15 09:35:00,8.238,8.293,8.301,8.223,-0.12,-0.01,392172,326625439.0,0.94,0.34
2026-01-15 09:40:00,8.29,8.257,8.307,8.257,-0.43,-0.036,303741,253526111.0,0.6,0.26
2026-01-15 09:45:00,8.254,8.268,8.301,8.247,0.13,0.011,285503,238044818.0,0.65,0.25
2026-01-15 09:50:00,8.27,8.266,8.274,8.251,-0.02,-0.002,282885,235465627.0,0.28,0.24
2026-01-15 09:55:00,8.263,8.282,8.303,8.263,0.19,0.016,181053,151001888.0,0.48,0.16
2026-01-15 10:00:00,8.282,8.311,8.32,8.282,0.35,0.029,402006,336399828.0,0.46,0.35
2026-01-15 10:05:00,8.312,8.303,8.328,8.303,-0.1,-0.008,566202,474075261.0,0.3,0.49
2026-01-15 10:10:00,8.302,8.296,8.306,8.281,-0.08,-0.007,557174,465755915.0,0.3,0.48
2026-01-15 10:15:00,8.296,8.298,8.305,8.286,0.02,0.002,507589,424222077.0,0.23,0.44
2026-01-15 10:20:00,8.299,8.282,8.301,8.282,-0.19,-0.016,857205,716448258.0,0.23,0.74
2026-01-15 10:25:00,8.281,8.258,8.287,8.258,-0.29,-0.024,990433,825569088.0,0.35,0.86
2026-01-15 10:30:00,8.258,8.256,8.264,8.251,-0.02,-0.002,650984,541552929.0,0.16,0.56
2026-01-15 10:35:00,8.258,8.265,8.271,8.252,0.11,0.009,194608,161994047.0,0.23,0.17
2026-01-15 10:40:00,8.268,8.268,8.282,8.26,0.04,0.003,489503,407791258.0,0.27,0.42
2026-01-15 10:45:00,8.262,8.246,8.272,8.245,-0.27,-0.022,877811,730347892.0,0.33,0.76
2026-01-15 10:50:00,8.246,8.261,8.263,8.245,0.18,0.015,1068313,888351905.0,0.22,0.92
2026-01-15 10:55:00,8.26,8.242,8.26,8.242,-0.23,-0.019,1104899,918725061.0,0.22,0.95
2026-01-15 11:00:00,8.243,8.239,8.247,8.238,-0.04,-0.003,883837,733821629.0,0.11,0.76
